Rank,SB Score,Rating,User,Subscribers,Video Views
1,40,A+,DanTDM,14360576,9411364395
2,48,A+,PopularMMOs,10911918,7861033610
3,118,A,VanossGaming,20138307,6780381424
4,70,A,Markiplier,16719884,6778559493
5,78,A,jacksepticeye,14771738,6647712034
6,128,A,VEGETTA777,17247497,6400237016
7,313,A,IGN,8104238,6158186036
8,365,A,stampylonghead,8324559,5821149141
9,5010,B+,Machinima,12630862,5675868421
10,56,A,Fernanfloo,19943951,4623661434
11,202,A,JuegaGerman,17848310,4293545367
12,144,A,rezendeevil,10781150,3704620550
13,324,A,TheWillyrex,11453008,3698381206
14,83,A,AuthenticGames,8758096,3568572712
15,2842,B+,YOGSCAST Lewis & Simon,7338683,3534975402
16,3884,B+,Sky Does Minecraft,12025906,3460163007
17,74,A,FGTeeV,3078131,3436786217
18,211,A,SQUEEZIE,7804268,3228892472
19,393,A,GameGrumps,3755348,2950495565
20,2397,B+,Angry Birds,1800095,2894673370
21,1259,A-,CaptainSparklez,9860480,2756359274
22,398,A,SSundee,7812592,2675214976
23,683,A,theRadBrad,7017717,2601889754
24,367,A,TazerCraft,7323061,2590798262
25,310,A,packattack04082,1546204,2473152998
26,306,A,W2S,9741580,2442291692
27,912,A,FROST,6270721,2402547583
28,2764,B+,SeaNanners Gaming Channel,5698869,2334809767
29,1558,A-,Smosh Games,7027873,2329873931
30,1435,A-,iBallisticSquid,3972670,2235583679
31,258,A,DaniRep | +6 Vídeos Diarios De GTA…,4622719,2230928206
32,3078,B+,Ali-A,8736414,2199164030
33,1091,A-,ArcadeGo.com,2707117,2194082618
34,913,A,Gronkh,4555444,2154926373
35,335,A,Kwebbelkop,6443011,2138163025
36,1110,A-,iHasCupquake,5413051,2107021720
37,269,A,HikakinGames,2653766,2086736576
38,39898,B,TobyGames,6812560,2013272790
39,10554,B,TheSyndicateProject,9981154,1965598781
40,2341,B+,VenturianTale,2569476,1915221764
41,422,A,TheBrainDit,5766158,1883680679
42,707,A,Gameplayrj,4695153,1797069578
43,6407,B+,UberHaxorNova,3052136,1761374444
44,296,A,Jelly,5970330,1763079935
45,3932,B+,Bajan Canadian - Minecraft & More,5917466,1720003371
46,1747,A-,Willyrex,8010665,1705072006
47,1454,A-,TheSkylanderBoy AndGirl,1566577,1667074057
48,68,A,Guava Juice,5192592,1669656471
49,1609,A-,LittleLizardGaming - Minecraft…,2970755,1656333406
50,799,A,miniminter,5760343,1637689401
51,304,A,AM3NlC,6211946,1629825683
52,1606,A-,TheAtlanticCraft | Minecraft,3675227,1589798767
53,4436,B+,???????,1447889,1549553046
54,7457,B+,speedyw03,6636377,1531442418
55,602,A,?FavijTV™,3497915,1528502327
56,2240,B+,GameSpot,2619550,1523593014
57,239,A,???? ????,2481430,1519604819
58,1084,A-,Chris Smoove,3366899,1497161432
59,1820,A-,LetsPlay,3727097,1482777566
60,1054,A-,H2ODelirious,8644663,1471663807
61,713,A,Coisa de Nerd,6303808,1421302466
62,2443,B+,League of Legends,7936541,1418110211
63,1980,A-,ZackScottGames,2438734,1411465155
64,399,A,PrestonPlayz - Minecraft,4129392,1403880491
65,1187,A-,PlayStation,5360710,1381655951
